"","OBJECTID","PA_area"
"451",893,122007503.738854
"452",903,248937490.967118
"453",904,668006322.88777
"454",905,130776441.03247
"455",908,1563502.72377388
"456",911,226920636.969381
"457",912,587675870.541697
"458",913,447384101.884327
"459",941,179314521.18444
"460",942,613638273.533886
"461",943,530933561.527734
"462",944,4878297.94785261
"463",945,1667277.49687306
"464",955,528035082.145685
"465",956,614319495.377506
"466",957,614030116.33184
"467",958,604307998.156137
"468",959,389905764.635662
"469",960,591878776.337335
"470",961,614051871.080723
"471",962,676844417.306927
"472",963,613964949.430275
"473",964,602928564.638196
"474",965,412879316.686249
"475",966,84792199.8428402
"476",970,14888222.8702235
"477",971,256003899.313081
"478",972,20824138.4543704
"479",980,47883382.7682923
"480",981,549521073.779596
"481",982,565555919.067054
"482",983,30606665.7235256
"483",991,20191810.8430382
"484",992,291530615.600291
"485",993,614051871.08057
"486",994,253770004.731207
"487",995,23408383.9805075
"488",996,251179983.446032
"489",997,242235232.985524
"490",1002,353596131.735761
"491",1003,251105282.92256
"492",1008,5666424.16560453
"493",1009,11935994.6698958
"494",1026,225186075.997673
"495",1027,101775976.649496
"496",1028,6712255.76371572
"497",1030,548976851.647493
"498",1031,613487195.118623
"499",1032,612623909.486785
"500",1033,570193251.958182
"501",1034,344846735.302057
"502",1035,124197.027327084
"503",1044,615575908.588625
"504",1045,614257462.170947
"505",1046,613534706.860085
"506",1047,607023209.789146
"507",1048,848799878.704335
"508",1049,631981558.987407
"509",1050,376845101.866099
"510",1051,613787185.438896
"511",1052,631467119.838745
"512",1053,684982711.611702
"513",1054,614456224.649628
"514",1055,614344676.800248
"515",1056,482110940.349322
"516",1065,13423428.0665999
"517",1066,11538914.3858763
"518",1068,38737177.7005904
"519",1069,39178905.7675637
"520",1073,33841808.4441375
"521",1074,77285291.7105506
"522",1075,33542042.9054073
"523",1077,315541211.518258
"524",1078,605922341.08305
"525",1079,134262497.097568
"526",1080,92797798.0993624
"527",1081,4062875.26127672
"528",1087,162418249.672421
"529",1088,137883746.766345
"530",1089,576518313.850097
"531",1090,285719866.306747
"532",1091,342267325.984982
"533",1092,614456224.649319
"534",1093,595560091.591669
"535",1094,157990923.276578
"536",1095,430501.103453628
"537",1096,83656690.8192196
"538",1098,225192393.473163
"539",1099,316373493.463263
"540",1102,292551412.918607
"541",1103,366247735.210748
"542",1104,77223680.312738
"543",1114,22352369.3466625
"544",1115,99594201.8442099
"545",1116,3720.989781335
"546",1122,314836613.453262
"547",1123,552242715.412415
"548",1124,583156750.645422
"549",1125,358495830.245925
"550",1126,578813623.624874
"551",1127,613305173.89466
"552",1128,614456224.649162
"553",1129,601559805.682382
"554",1130,398241265.881241
"555",1131,281841949.650138
"556",1141,470097342.095497
"557",1142,576414362.176643
"558",1143,531264319.546202
"559",1144,342990499.957111
"560",1145,495820178.182051
"561",1146,613899272.092004
"562",1147,590084777.519503
"563",1148,874815903.037427
"564",1149,285076017.95377
"565",1150,589835605.962093
"566",1151,614369732.425435
"567",1152,695426742.659844
"568",1153,614851329.46999
"569",1154,614785012.65836
"570",1155,608577958.107661
"571",1156,116449045.729403
"572",1163,61985383.248647
"573",1164,126045796.45456
"574",1165,497279392.244635
"575",1166,177432871.195023
"576",1167,430097034.784391
"577",1168,592479347.341995
"578",1169,12168004.5101103
"579",1171,11648639.56584
"580",1172,554326494.021085
"581",1173,345039729.295493
"582",1174,440673104.496227
"583",1175,13270683.9373759
"584",1176,165843213.132489
"585",1177,471483210.174088
"586",1178,509019162.302063
"587",1179,301762034.424276
"588",1180,36586736.0843801
"589",1182,226567272.556461
"590",1183,381246308.735838
"591",1184,101223467.778368
"592",1185,104261900.827226
"593",1186,141780913.249002
"594",1187,145987689.794216
"595",1188,243954303.974208
"596",1189,131580398.29617
"597",1190,111399590.470407
"598",1191,121414811.534805
"599",1192,103441166.157181
"600",1193,90655478.3952119
"601",1194,88996324.5753661
"602",1195,69948009.5489128
"603",1196,18674644.7181995
"604",1201,321617567.277186
"605",1202,470184572.520387
"606",1203,65839851.001555
"607",1214,200802317.343918
"608",1215,204253019.073399
"609",1216,103858739.669386
"610",1219,96300252.3581359
"611",1220,134008800.576162
"612",1221,597042801.947801
"613",1222,614851329.469685
"614",1223,614847101.263867
"615",1224,614851329.469837
"616",1225,614851329.469685
"617",1226,614851329.469524
"618",1227,614851329.469524
"619",1228,614851329.469685
"620",1229,614851329.469685
"621",1230,612415954.555503
"622",1231,105184697.737023
"623",1240,452704973.523467
"624",1241,656786105.655103
"625",1242,615237180.883923
"626",1243,615237180.884068
"627",1244,608306230.20636
"628",1245,160448252.45711
"629",1246,189026813.06671
"630",1247,390704980.266519
"631",1248,94040622.6450719
"632",1249,347265400.369653
"633",1250,522643380.768508
"634",1251,426222347.530611
"635",1252,379635235.178927
"636",1253,571697992.872332
"637",1254,534609085.964199
"638",1255,287832936.285337
"639",1256,521565295.553431
"640",1257,538926245.907441
"641",1258,415472312.680918
"642",1262,82581733.0449694
"643",1263,12081335.7488052
