"","OBJECTID","dist_rod","rod","dist_hid","hid","dist_hidro_rod","hid_rod"
"280",280,66858.2192051495,"rod",270227.297151216,"hid",66858.2192051495,"hid_rod"
"281",281,61326.4782279546,"rod",259184.266228824,"hid",61326.4782279546,"hid_rod"
"282",282,62227.8307623427,"rod",237625.447999143,"hid",62227.8307623427,"hid_rod"
"283",283,65203.8085530143,"rod",216815.239230734,"hid",65203.8085530143,"hid_rod"
"284",284,72142.1447382162,"rod",196991.033389558,"hid",72142.1447382162,"hid_rod"
"285",285,77564.1571927804,"rod",178481.683769266,"hid",77564.1571927801,"hid_rod"
"286",286,84565.5375052762,"rod",161739.23658192,"hid",84565.5375052762,"hid_rod"
"287",287,93389.5058041224,"rod",147367.143290685,"hid",93389.5058041224,"hid_rod"
"288",288,100144.257888637,"rod",136118.309942629,"hid",100144.257888637,"hid_rod"
"289",289,105364.041431462,"rod",128813.581671168,"hid",105364.041431462,"hid_rod"
"290",290,99922.7968093194,"rod",126140.035300393,"hid",99922.7968093194,"hid_rod"
"291",291,78643.8001481837,"rod",119096.005351371,"hid",78643.8001481838,"hid_rod"
"292",292,60234.5177132277,"rod",96017.7592196996,"hid",60234.5177132277,"hid_rod"
"293",293,47862.2096938427,"rod",73678.9337257549,"hid",47862.2096938427,"hid_rod"
"294",294,24690.5435384603,"rod",52633.8430084991,"hid",24690.5435384603,"hid_rod"
"295",295,2585.13778284644,"rod",36948.4200108808,"hid",2585.13778284609,"hid_rod"
"296",296,20271.6149392092,"rod",34830.7081899235,"hid",20271.6149392099,"hid_rod"
"297",297,43844.3832160633,"rod",47483.1626263051,"hid",43844.3832160633,"hid_rod"
"298",298,63125.8774653669,"rod",42447.2713861236,"hid",42447.2713861272,"hid_rod"
"299",299,70132.4923964173,"rod",20453.9649208244,"hid",20453.9649208299,"hid_rod"
"300",300,84296.1606277885,"rod",969.6204667256,"hid",969.620466727364,"hid_rod"
"301",301,90889.3811313163,"rod",203.92482513386,"hid",203.924825136419,"hid_rod"
"302",302,104989.132946249,"rod",237848.677162506,"hid",104989.132946249,"hid_rod"
"303",303,91099.0399235609,"rod",236946.139163283,"hid",91099.0399235609,"hid_rod"
"304",304,77206.836946224,"rod",238537.009168105,"hid",77206.836946224,"hid_rod"
"305",305,63316.3950832632,"rod",229621.092897224,"hid",63316.3950832632,"hid_rod"
"306",306,49427.8628145162,"rod",205091.45188312,"hid",49427.8628145162,"hid_rod"
"307",307,36844.0626664439,"rod",180682.249332609,"hid",36844.0626664439,"hid_rod"
"308",308,27603.9631174114,"rod",156015.887440566,"hid",27603.9631174115,"hid_rod"
"309",309,15050.3914568752,"rod",131488.569186981,"hid",15050.391456875,"hid_rod"
"310",310,790.453884067515,"rod",107139.328292105,"hid",790.453884067251,"hid_rod"
"311",311,8670.16686217904,"rod",83176.6954166374,"hid",8670.16686217904,"hid_rod"
"312",312,13005.073971305,"rod",59505.4367224386,"hid",13005.0739713049,"hid_rod"
"313",313,17202.8305862587,"rod",36987.8725216244,"hid",17202.8305862587,"hid_rod"
"314",314,14168.1095264033,"rod",16738.3332378265,"hid",14168.1095264033,"hid_rod"
"315",315,7422.15982173834,"rod",4481.01835364665,"hid",7422.15982173614,"hid_rod"
"316",316,26180.3902864373,"rod",19359.863034785,"hid",26180.3902864373,"hid_rod"
