"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1395",2260,569978889.578893,2669.39952548273,14119.2744947128,2669.39952548273
"1396",2261,312673292.602459,22123.1789977333,5044.67574935404,5044.67574935166
"1397",2262,92705517.5163226,47093.594813262,21849.0755237489,21849.0755237543
"1398",2263,618292726.873859,63188.196958082,19893.7071632353,19893.7071632402
"1399",2264,608125823.696694,81978.7527974122,19949.8563462922,19949.8563462922
"1400",2265,617584778.635914,103035.858638559,39225.5905834481,39225.5905834509
"1401",2266,608948843.458221,105680.635536347,61934.5393824782,61934.5393824775
"1402",2267,618292726.873699,82403.8612374428,36984.6489131203,36984.6489131129
"1403",2268,244257499.313831,58199.459704133,11970.5807175242,11970.5807175182
"1404",2271,97274079.83183,15565.7957493968,47972.8037820121,15565.7957493968
"1405",2272,589232956.191725,40183.4264032959,71861.4558644021,40183.4264032959
"1406",2273,618282985.655363,64799.2212527568,96325.874420154,64799.2212527581
"1407",2274,618311361.698054,89412.1872341096,100723.325521768,89412.1872341105
"1408",2275,618297606.097306,74186.104583805,91767.8061191851,74186.104583805
"1409",2276,617458872.832523,50031.4031536005,89162.6500603551,50031.4031536005
"1410",2277,618926690.766361,25893.8868525245,88290.8209547136,25893.8868525252
"1411",2278,618292726.873859,1732.82681375053,63636.0833870771,1732.82681375053
"1412",2279,558031837.823433,22418.7236396651,39439.6299201115,22418.7236396653
"1413",2280,369443407.064458,46528.3328841547,17648.4626374356,46528.3328841549
"1414",2281,535698435.004504,38738.6544750155,2860.74973994657,38738.6544750155
"1415",2282,68529827.747202,22827.7410590394,5807.81163341208,22827.7410590394
"1416",2285,63577207.2272415,10732.3173890703,6735.79758141824,10732.3173890703
"1417",2286,422610021.121742,18972.2531431521,13811.9628365842,18972.2531431521
"1418",2287,618363778.108675,66068.6603904832,1087.66301522741,1087.6630152256
"1419",2288,618292726.874165,47591.6174978035,1800.93280433216,1800.93280433997
